annotation_id,annotator,created_at,id,lead_time,ner,pos_tags,text,updated_at
2,1,2025-01-23T16:16:51.290117Z,20,423.832,"[{""start"":93,""end"":95,""text"":""भी"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":6,""text"":""भाइयों"",""labels"":[""NOUN""]},{""start"":7,""end"":9,""text"":""और"",""labels"":[""NOUN""]},{""start"":10,""end"":15,""text"":""बहनों"",""labels"":[""PART""]},{""start"":16,""end"":21,""text"":"" हमने"",""labels"":[""PROPN""]},{""start"":22,""end"":28,""text"":""दिखाया"",""labels"":[""ADJ""]},{""start"":29,""end"":31,""text"":""है"",""labels"":[""ADJ""]},{""start"":32,""end"":34,""text"":""कि"",""labels"":[""ADJ""]},{""start"":35,""end"":51,""text"":""Renewable Energy"",""labels"":[""NOUN""]},{""start"":52,""end"":54,""text"":""के"",""labels"":[""PROPN""]},{""start"":55,""end"":61,""text"":""मामले "",""labels"":[""ADJ""]},{""start"":61,""end"":64,""text"":""में"",""labels"":[""CONJ""]},{""start"":65,""end"":81,""text"":""Developing World"",""labels"":[""NOUN""]},{""start"":82,""end"":88,""text"":""का कोई"",""labels"":[""PRON""]},{""start"":93,""end"":95,""text"":""भी"",""labels"":[""PART""]},{""start"":96,""end"":100,""text"":""Lead"",""labels"":[""PRON_WH""]},{""start"":101,""end"":103,""text"":""ले"",""labels"":[""PART""]},{""start"":104,""end"":111,""text"":""सकता है"",""labels"":[""VERB""]}]","भाइयों और बहनों, हमने दिखाया है कि Renewable Energy के मामले में Developing World का कोई देश भी Lead ले सकता है।",2025-01-23T16:16:51.290139Z
3,1,2025-01-23T16:19:21.135530Z,21,145.34,,"[{""start"":0,""end"":2,""text"":""ये"",""labels"":[""PRON""]},{""start"":3,""end"":11,""text"":""Start up"",""labels"":[""NOUN""]},{""start"":13,""end"":28,""text"":""Food Processing"",""labels"":[""NOUN""]},{""start"":29,""end"":31,""text"":""से"",""labels"":[""PART""]},{""start"":32,""end"":37,""text"":""जुड़े"",""labels"":[""PRON_WH""]},{""start"":29,""end"":31,""text"":""से"",""labels"":[""ADJ""]},{""start"":38,""end"":41,""text"":""हैं"",""labels"":[""DET""]},{""start"":43,""end"":66,""text"":""Artificial Intelligence"",""labels"":[""PROPN""]},{""start"":68,""end"":86,""text"":""Internet of things"",""labels"":[""PROPN""]},{""start"":88,""end"":93,""text"":""खेती "",""labels"":[""VERB""]},{""start"":93,""end"":102,""text"":""से जुड़े "",""labels"":[""DET""]},{""start"":102,""end"":115,""text"":""स्मार्ट उपकरण"",""labels"":[""NOUN""]},{""start"":115,""end"":118,""text"":"" के"",""labels"":[""DET""]},{""start"":119,""end"":127,""text"":""निर्माण "",""labels"":[""VERB""]},{""start"":127,""end"":129,""text"":""और"",""labels"":[""CONJ""]},{""start"":130,""end"":146,""text"":""रिन्यूएबल एनर्जी"",""labels"":[""NOUN""]},{""start"":147,""end"":149,""text"":""से"",""labels"":[""DET""]},{""start"":156,""end"":159,""text"":""हैं"",""labels"":[""ADJ""]},{""start"":150,""end"":155,""text"":""जुड़े"",""labels"":[""ADJ""]}]","ये Start up, Food Processing से जुड़े हैं, Artificial Intelligence, Internet of things, खेती से जुड़े स्मार्ट उपकरण के निर्माण और रिन्यूएबल एनर्जी से जुड़े हैं।",2025-01-23T16:19:21.135552Z
4,1,2025-01-23T16:22:39.169032Z,22,129.531,"[{""start"":32,""end"":44,""text"":""इंडो-पेसिफिक"",""labels"":[""LOCATION""]}]","[{""start"":8,""end"":21,""text"":""Quad partners"",""labels"":[""NOUN""]},{""start"":57,""end"":62,""text"":""बेहतर"",""labels"":[""ADJ""]},{""start"":66,""end"":73,""text"":""किफायती"",""labels"":[""ADJ""]},{""start"":74,""end"":82,""text"":""Covid-19"",""labels"":[""NOUN""]},{""start"":83,""end"":90,""text"":""वैक्सीन"",""labels"":[""NOUN""]},{""start"":94,""end"":106,""text"":""आपूर्ति करने"",""labels"":[""VERB""]},{""start"":114,""end"":124,""text"":""काम कर रहे"",""labels"":[""VERB""]},{""start"":0,""end"":7,""text"":""हम अपने"",""labels"":[""PRON""]},{""start"":63,""end"":65,""text"":""और"",""labels"":[""CONJ""]},{""start"":107,""end"":113,""text"":""के लिए"",""labels"":[""DET""]},{""start"":125,""end"":128,""text"":""हैं"",""labels"":[""VERB""]},{""start"":114,""end"":128,""text"":""काम कर रहे हैं"",""labels"":[""VERB""]},{""start"":22,""end"":31,""text"":""के साथ भी"",""labels"":[""DET""]},{""start"":45,""end"":57,""text"":""क्षेत्र में "",""labels"":[""NOUN""]},{""start"":91,""end"":93,""text"":""की"",""labels"":[""DET""]}]",हम अपने Quad partners के साथ भी इंडो-पेसिफिक क्षेत्र में बेहतर और किफायती Covid-19 वैक्सीन की आपूर्ति करने के लिए काम कर रहे हैं।,2025-01-23T16:22:39.169052Z
5,1,2025-01-23T16:24:38.244427Z,23,127.491,"[{""start"":52,""end"":58,""text"":"" AIIMS"",""labels"":[""ORG""]},{""start"":37,""end"":49,""text"":""मेडिकल कॉलेज"",""labels"":[""ORG""]},{""start"":64,""end"":73,""text"":""संस्थानों"",""labels"":[""ORG""]},{""start"":81,""end"":100,""text"":""integrated approach"",""labels"":[""MISC""]}]","[{""start"":11,""end"":15,""text"":""गांव"",""labels"":[""NOUN""]},{""start"":19,""end"":28,""text"":""अस्पतालों"",""labels"":[""NOUN""]},{""start"":108,""end"":125,""text"":""काम शुरु किया है।"",""labels"":[""VERB""]},{""start"":29,""end"":36,""text"":""से लेकर"",""labels"":[""VERB""]},{""start"":50,""end"":52,""text"":""और"",""labels"":[""CONJ""]},{""start"":101,""end"":107,""text"":""के साथ"",""labels"":[""DET""]},{""start"":15,""end"":19,""text"":"" के "",""labels"":[""DET""]},{""start"":0,""end"":5,""text"":""इसलिए"",""labels"":[""ADJ""]},{""start"":6,""end"":10,""text"":""हमने"",""labels"":[""PRON""]},{""start"":59,""end"":63,""text"":""जैसे"",""labels"":[""ADJ""]},{""start"":74,""end"":80,""text"":""तक, एक"",""labels"":[""PART""]}]","इसलिए हमने गांव के अस्पतालों से लेकर मेडिकल कॉलेज और AIIMS जैसे संस्थानों तक, एक integrated approach के साथ काम शुरु किया है।",2025-01-23T16:24:38.244449Z
6,1,2025-01-23T16:26:01.078994Z,24,87.894,"[{""start"":83,""end"":109,""text"":""Health and Wellness Centre"",""labels"":[""ORG""]}]","[{""start"":18,""end"":25,""text"":"" टेस्ट "",""labels"":[""NOUN""]},{""start"":71,""end"":76,""text"":""टेस्ट"",""labels"":[""NOUN""]},{""start"":113,""end"":131,""text"":""उपलब्ध हो रहे हैं।"",""labels"":[""VERB""]},{""start"":47,""end"":49,""text"":""तक"",""labels"":[""ADP""]},{""start"":110,""end"":113,""text"":""पर "",""labels"":[""ADP""]},{""start"":0,""end"":9,""text"":""पहले जिन "",""labels"":[""ADJ""]},{""start"":9,""end"":18,""text"":""छोटे-छोटे"",""labels"":[""ADJ""]},{""start"":27,""end"":41,""text"":"" कराने के लिए "",""labels"":[""ADV""]},{""start"":41,""end"":46,""text"":""शहरों"",""labels"":[""NOUN""]},{""start"":50,""end"":67,""text"":""पहुंचना पड़ता था,"",""labels"":[""VERB""]},{""start"":25,""end"":27,""text"":""को"",""labels"":[""ADJ""]},{""start"":68,""end"":70,""text"":""वो"",""labels"":[""DET""]},{""start"":77,""end"":82,""text"":""अब इन"",""labels"":[""DET""]}]","पहले जिन छोटे-छोटे टेस्ट को कराने के लिए शहरों तक पहुंचना पड़ता था, वो टेस्ट अब इन Health and Wellness Centre पर उपलब्ध हो रहे हैं।",2025-01-23T16:26:01.079018Z
7,1,2025-01-23T16:27:03.408280Z,25,63.314,"[{""start"":14,""end"":48,""text"":""Peace keeping Force United Nations"",""labels"":[""ORG""]}]","[{""start"":69,""end"":84,""text"":""हिन्‍दुस्‍तानी "",""labels"":[""PRON""]},{""start"":89,""end"":100,""text"":""कर सकता है।"",""labels"":[""VERB""]},{""start"":52,""end"":62,""text"":""जुड़ा हुआ "",""labels"":[""VERB""]},{""start"":62,""end"":68,""text"":""कोई भी"",""labels"":[""DET""]},{""start"":10,""end"":14,""text"":""में "",""labels"":[""DET""]},{""start"":0,""end"":9,""text"":""आज विश्‍व"",""labels"":[""NOUN""]},{""start"":84,""end"":88,""text"":""गर्व"",""labels"":[""PRON_WH""]}]",आज विश्‍व में Peace keeping Force United Nations से जुड़ा हुआ कोई भी हिन्‍दुस्‍तानी गर्व कर सकता है।,2025-01-23T16:27:03.408300Z
8,1,2025-01-23T16:27:49.330338Z,26,47.333,"[{""start"":49,""end"":65,""text"":""South-East Asia "",""labels"":[""LOCATION""]}]","[{""start"":16,""end"":33,""text"":""भारत उत्‍तर-पूर्व"",""labels"":[""NOUN""]},{""start"":37,""end"":46,""text"":""राज्‍यों "",""labels"":[""NOUN""]},{""start"":33,""end"":37,""text"":"" के "",""labels"":[""DET""]},{""start"":46,""end"":48,""text"":""को"",""labels"":[""DET""]},{""start"":0,""end"":15,""text"":""भाइयो और बहनों,"",""labels"":[""PROPN""]},{""start"":76,""end"":85,""text"":""मानता है।"",""labels"":[""VERB""]},{""start"":65,""end"":67,""text"":""को"",""labels"":[""DET""]}]","भाइयो और बहनों, भारत उत्‍तर-पूर्व के राज्‍यों को South-East Asia को Gateway मानता है।",2025-01-23T16:27:49.330358Z
9,1,2025-01-23T16:28:39.156540Z,27,44.364,"[{""start"":69,""end"":85,""text"":"" Kaladan project"",""labels"":[""LOCATION""]},{""start"":21,""end"":50,""text"":""Paletwa inland water terminal"",""labels"":[""LOCATION""]},{""start"":5,""end"":15,""text"":""Sittwe Por"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":5,""text"":""हमने "",""labels"":[""PROPN""]},{""start"":17,""end"":20,""text"":""तदा"",""labels"":[""CONJ""]},{""start"":56,""end"":70,""text"":""काम पूरा करके "",""labels"":[""VERB""]},{""start"":111,""end"":123,""text"":""प्रगति की है"",""labels"":[""VERB""]},{""start"":86,""end"":111,""text"":""में निरंतर और प्रत्‍यक्ष "",""labels"":[""ADV""]},{""start"":50,""end"":56,""text"":""पर भी "",""labels"":[""DET""]}]",हमने Sittwe Port तदा Paletwa inland water terminalपर भी काम पूरा करके Kaladan project में निरंतर और प्रत्‍यक्ष प्रगति की है।,2025-01-23T16:28:39.156561Z
10,1,2025-01-23T16:29:50.185302Z,28,73.882,"[{""start"":0,""end"":12,""text"":""मध्य प्रदेश "",""labels"":[""LOCATION""]},{""start"":15,""end"":23,""text"":""सिंगरौली"",""labels"":[""LOCATION""]},{""start"":37,""end"":49,""text"":""उषा दुबे जी "",""labels"":[""PERSON""]}]","[{""start"":55,""end"":62,""text"":""scooty "",""labels"":[""NOUN""]},{""start"":68,""end"":83,""text"":""mobile library "",""labels"":[""PROPN""]},{""start"":12,""end"":14,""text"":""के"",""labels"":[""DET""]},{""start"":24,""end"":26,""text"":""की"",""labels"":[""DET""]},{""start"":27,""end"":35,""text"":""शिक्षिका"",""labels"":[""PROPN""]},{""start"":49,""end"":54,""text"":""ने तो"",""labels"":[""VERB""]},{""start"":62,""end"":67,""text"":""को ही"",""labels"":[""DET""]},{""start"":83,""end"":96,""text"":""में बदल दिया।"",""labels"":[""VERB""]}]","मध्य प्रदेश के सिंगरौली की शिक्षिका, उषा दुबे जी ने तो scooty को ही mobile library में बदल दिया।",2025-01-23T16:29:50.185322Z
11,1,2025-01-23T16:30:54.687467Z,29,68.191,"[{""start"":17,""end"":31,""text"":""अरुणाचल प्रदेश"",""labels"":[""LOCATION""]},{""start"":46,""end"":58,""text"":""Rayo Village"",""labels"":[""LOCATION""]},{""start"":66,""end"":83,""text"":""Self Help Library"",""labels"":[""LOCATION""]},{""start"":35,""end"":42,""text"":""निरजुली"",""labels"":[""LOCATION""]},{""start"":7,""end"":16,""text"":""अगस्त में"",""labels"":[""DATE""]}]","[{""start"":0,""end"":6,""text"":""इस साल"",""labels"":[""ADJ""]},{""start"":7,""end"":16,""text"":""अगस्त में"",""labels"":[""NOUN""]},{""start"":85,""end"":95,""text"":""नाई गई है।"",""labels"":[""VERB""]},{""start"":84,""end"":95,""text"":""बनाई गई है।"",""labels"":[""DET""]},{""start"":32,""end"":34,""text"":""के"",""labels"":[""DET""]},{""start"":59,""end"":65,""text"":""में एक"",""labels"":[""ADP""]}]",इस साल अगस्त में अरुणाचल प्रदेश के निरजुली के Rayo Village में एक Self Help Library बनाई गई है।,2025-01-23T16:30:54.687508Z
12,1,2025-01-23T16:32:16.806037Z,30,73.768,"[{""start"":20,""end"":57,""text"":""Pencil Slate Manufacturing Machinery "",""labels"":[""ORG""]},{""start"":83,""end"":88,""text"":"" देश "",""labels"":[""LOCATION""]}]","[{""start"":111,""end"":133,""text"":""Pencil Slate की Supply"",""labels"":[""PROPN""]},{""start"":134,""end"":145,""text"":""शुरू कर दी।"",""labels"":[""VERB""]},{""start"":57,""end"":62,""text"":""ले ली"",""labels"":[""VERB""]},{""start"":63,""end"":66,""text"":""और "",""labels"":[""CONJ""]},{""start"":88,""end"":90,""text"":""की"",""labels"":[""DET""]},{""start"":66,""end"":83,""text"":""उसके बाद उन्होंने"",""labels"":[""VERB""]},{""start"":92,""end"":98,""text"":""ड़ी-बड़ी"",""labels"":[""ADJ""]},{""start"":99,""end"":110,""text"":""कंपनियों को"",""labels"":[""PROPN""]},{""start"":0,""end"":10,""text"":""समय के साथ"",""labels"":[""ADV""]},{""start"":11,""end"":19,""text"":""उन्होंने"",""labels"":[""PROPN""]}]",समय के साथ उन्होंने Pencil Slate Manufacturing Machinery ले ली और उसके बाद उन्होंने देश की बड़ी-बड़ी कंपनियों को Pencil Slate की Supply शुरू कर दी।,2025-01-23T16:32:16.806078Z
13,1,2025-01-23T16:33:23.121165Z,31,64.119,"[{""start"":30,""end"":52,""text"":""पांडु में ब्रह्मापुत्र"",""labels"":[""LOCATION""]}]","[{""start"":68,""end"":86,""text"":""inland waterway-2 "",""labels"":[""PROPN""]},{""start"":92,""end"":112,""text"":""cargo transportation"",""labels"":[""PROPN""]},{""start"":115,""end"":129,""text"":""रू हो चुका है।"",""labels"":[""VERB""]},{""start"":0,""end"":12,""text"":""इसके साथ-साथ"",""labels"":[""ADV""]},{""start"":13,""end"":26,""text"":""गंगाजी को असम"",""labels"":[""NOUN""]},{""start"":27,""end"":29,""text"":""के"",""labels"":[""DET""]},{""start"":53,""end"":56,""text"":""से "",""labels"":[""DET""]},{""start"":56,""end"":67,""text"":""जोड़ने वाले"",""labels"":[""ADJ""]},{""start"":87,""end"":91,""text"":""र भी"",""labels"":[""CONJ""]}]",इसके साथ-साथ गंगाजी को असम के पांडु में ब्रह्मापुत्र से जोड़ने वाले inland waterway-2 पर भी cargo transportation शुरू हो चुका है।,2025-01-23T16:33:23.121187Z
14,1,2025-01-23T16:34:12.733026Z,32,47.788,"[{""start"":34,""end"":47,""text"":""को सिस्टम में"",""labels"":[""ORG""]}]","[{""start"":48,""end"":74,""text"":""Alternate Investment Funds"",""labels"":[""PROPN""]},{""start"":2,""end"":7,""text"":""इयों "",""labels"":[""NOUN""]},{""start"":0,""end"":15,""text"":""भाइयों और बहनों"",""labels"":[""NOUN""]},{""start"":17,""end"":29,""text"":""स्टार्ट अप्स"",""labels"":[""PROPN""]},{""start"":29,""end"":34,""text"":"" के इ"",""labels"":[""DET""]},{""start"":82,""end"":110,""text"":""किए गए निवेश महत्वपूर्ण हैं।"",""labels"":[""VERB""]},{""start"":75,""end"":82,""text"":""द्वारा "",""labels"":[""DET""]}]","भाइयों और बहनों, स्टार्ट अप्स के इको सिस्टम में Alternate Investment Funds द्वारा किए गए निवेश महत्वपूर्ण हैं।",2025-01-23T16:34:12.733049Z
15,1,2025-01-23T16:35:01.908491Z,33,47.057,"[{""start"":65,""end"":98,""text"":""ह्योगो International Association "",""labels"":[""ORG""]},{""start"":27,""end"":42,""text"":""काईज़ेन Academy "",""labels"":[""ORG""]},{""start"":13,""end"":23,""text"":""ज़ेन गार्डन"",""labels"":[""ORG""]},{""start"":0,""end"":8,""text"":""अहमदाबाद"",""labels"":[""LOCATION""]}]","[{""start"":9,""end"":13,""text"":""में "",""labels"":[""ADP""]},{""start"":110,""end"":124,""text"":""योगदान रहा है।"",""labels"":[""VERB""]},{""start"":98,""end"":110,""text"":""का बहुमूल्य "",""labels"":[""ADV""]},{""start"":42,""end"":56,""text"":""की स्थापना में"",""labels"":[""VERB""]},{""start"":57,""end"":64,""text"":""उनका और"",""labels"":[""ADJ""]},{""start"":23,""end"":26,""text"":"" और"",""labels"":[""CONJ""]}]",अहमदाबाद में ज़ेन गार्डन और काईज़ेन Academy की स्थापना में उनका और ह्योगो International Association का बहुमूल्य योगदान रहा है।,2025-01-23T16:35:01.908516Z
16,1,2025-01-23T16:35:32.310456Z,34,29.01,"[{""start"":3,""end"":49,""text"":"" Indo-Japan Friendship Association of Gujarat "",""labels"":[""ORG""]}]","[{""start"":0,""end"":3,""text"":""मैं"",""labels"":[""PROPN""]},{""start"":52,""end"":60,""text"":""साथियों "",""labels"":[""ADJ""]},{""start"":49,""end"":51,""text"":""के"",""labels"":[""DET""]},{""start"":60,""end"":66,""text"":""को भी "",""labels"":[""DET""]},{""start"":66,""end"":80,""text"":""बधाई देता हूं।"",""labels"":[""VERB""]}]",मैं Indo-Japan Friendship Association of Gujarat के साथियों को भी बधाई देता हूं।,2025-01-23T16:35:32.310480Z
17,1,2025-01-23T16:36:24.487019Z,35,50.313,"[{""start"":15,""end"":35,""text"":""काईज़ेन Academy जापान"",""labels"":[""ORG""]},{""start"":81,""end"":94,""text"":""जापान और भारत"",""labels"":[""LOCATION""]},{""start"":53,""end"":58,""text"":""भारत "",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":3,""text"":""मैं"",""labels"":[""PROPN""]},{""start"":3,""end"":14,""text"":"" चाहूँगा कि"",""labels"":[""ADJ""]},{""start"":102,""end"":122,""text"":""business interaction"",""labels"":[""NOUN""]},{""start"":94,""end"":101,""text"":"" के बीच"",""labels"":[""ADJ""]},{""start"":124,""end"":129,""text"":""बढाए।"",""labels"":[""VERB""]},{""start"":58,""end"":81,""text"":""में प्रचार-प्रसार करे, "",""labels"":[""VERB""]},{""start"":36,""end"":53,""text"":""के वर्क-कल्चर का "",""labels"":[""ADJ""]}]","मैं चाहूँगा कि काईज़ेन Academy जापान के वर्क-कल्चर का भारत में प्रचार-प्रसार करे, जापान और भारत के बीच business interactions बढाए।",2025-01-23T16:36:24.487064Z
18,1,2025-01-23T16:37:23.216039Z,36,56.541,"[{""start"":68,""end"":104,""text"":""Indo-Japan Student Exchange Program "",""labels"":[""ORG""]},{""start"":5,""end"":23,""text"":""गुजरात यूनिवर्सिटी"",""labels"":[""ORG""]},{""start"":36,""end"":60,""text"":""ओतेमोन गाकुइन University"",""labels"":[""ORG""]},{""start"":27,""end"":32,""text"":""ओसाका"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":5,""text"":""जैसे "",""labels"":[""ADJ""]},{""start"":24,""end"":27,""text"":""और "",""labels"":[""CONJ""]},{""start"":32,""end"":35,""text"":"" के"",""labels"":[""CONJ""]},{""start"":61,""end"":64,""text"":""के "",""labels"":[""CONJ""]},{""start"":64,""end"":67,""text"":""बीच"",""labels"":[""ADJ""]},{""start"":103,""end"":106,""text"":"" है"",""labels"":[""VERB""]}]",जैसे गुजरात यूनिवर्सिटी और ओसाका के ओतेमोन गाकुइन University के बीच Indo-Japan Student Exchange Program है।,2025-01-23T16:37:23.216062Z
19,1,2025-01-23T16:38:36.553699Z,37,62.458,"[{""start"":64,""end"":95,""text"":""digital payment infrastructure "",""labels"":[""ORG""]},{""start"":99,""end"":103,""text"":""भारत"",""labels"":[""LOCATION""]},{""start"":117,""end"":129,""text"":""अर्जेंटीनाके"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":11,""text"":""ICT क्षेत्र"",""labels"":[""PROPN""]},{""start"":29,""end"":59,""text"":""Jandhan-Aadhaar-Mobile trinity"",""labels"":[""PROPN""]},{""start"":20,""end"":23,""text"":""JAM"",""labels"":[""PROPN""]},{""start"":12,""end"":19,""text"":""विशेषकर"",""labels"":[""ADJ""]},{""start"":60,""end"":63,""text"":""तथा"",""labels"":[""CONJ""]},{""start"":95,""end"":99,""text"":""में "",""labels"":[""CONJ""]},{""start"":24,""end"":29,""text"":""यानि "",""labels"":[""CONJ""]},{""start"":104,""end"":113,""text"":""की सफलता,"",""labels"":[""ADV""]},{""start"":115,""end"":117,""text"":""म "",""labels"":[""PROPN""]},{""start"":129,""end"":133,""text"":"" साथ"",""labels"":[""ADJ""]},{""start"":133,""end"":161,""text"":"" साझा करने के लिए तैयार हैं।"",""labels"":[""VERB""]}]","ICT क्षेत्र,विशेषकर JAM यानि Jandhan-Aadhaar-Mobile trinity तथा digital payment infrastructure में भारत की सफलता, हम अर्जेंटीनाके साथ साझा करने के लिए तैयार हैं।",2025-01-23T16:38:36.553723Z
20,1,2025-01-23T16:39:33.648400Z,38,55.6,"[{""start"":14,""end"":47,""text"":""Missile Technology Control Regime"",""labels"":[""ORG""]},{""start"":49,""end"":70,""text"":""Wassenaar Arrangement"",""labels"":[""ORG""]},{""start"":74,""end"":89,""text"":""Australia Group"",""labels"":[""ORG""]},{""start"":92,""end"":114,""text"":""Nuclear Suppliers Grou"",""labels"":[""ORG""]},{""start"":119,""end"":124,""text"":"" भारत"",""labels"":[""LOCATION""]},{""start"":0,""end"":10,""text"":""अर्जेंटीना"",""labels"":[""LOCATION""]}]","[{""start"":10,""end"":14,""text"":"" ने "",""labels"":[""DET""]},{""start"":125,""end"":129,""text"":""की स"",""labels"":[""DET""]},{""start"":71,""end"":73,""text"":""और"",""labels"":[""CONJ""]},{""start"":90,""end"":91,""text"":""व"",""labels"":[""CONJ""]},{""start"":116,""end"":119,""text"":""में"",""labels"":[""CONJ""]},{""start"":129,""end"":136,""text"":""दस्यता "",""labels"":[""NOUN""]},{""start"":136,""end"":161,""text"":""का पुरजोर समर्थन किया है।"",""labels"":[""VERB""]}]","अर्जेंटीना ने Missile Technology Control Regime, Wassenaar Arrangement और Australia Group व Nuclear Suppliers Group में भारत की सदस्यता का पुरजोर समर्थन किया है।",2025-01-23T16:39:33.648422Z
21,1,2025-01-23T16:40:10.473188Z,39,34.195,"[{""start"":0,""end"":34,""text"":""International Solar Alliance (ISA)"",""labels"":[""ORG""]},{""start"":59,""end"":68,""text"":""अर्जंटीना"",""labels"":[""LOCATION""]}]","[{""start"":93,""end"":118,""text"":""बहुत प्रसन्नता हो रही है।"",""labels"":[""VERB""]},{""start"":88,""end"":92,""text"":""मुझे"",""labels"":[""PROPN""]},{""start"":69,""end"":71,""text"":""का"",""labels"":[""ADV""]},{""start"":72,""end"":87,""text"":""स्वागत करते हुए"",""labels"":[""VERB""]},{""start"":35,""end"":58,""text"":""में नए सदस्य के रूप में"",""labels"":[""ADJ""]}]",International Solar Alliance (ISA) में नए सदस्य के रूप में अर्जंटीना का स्वागत करते हुए मुझे बहुत प्रसन्नता हो रही है।,2025-01-23T16:40:10.473210Z